209,"Jogurt truskawkowy 1,5 %"
210,"Jogurt wiśniowy 1,5 %"
211,Kabanosy
212,"Kabanosy z kurczaka"
213,"Kaczka, tuszka"
214,"Kakao w proszku 16 %"
215,Kalafior
216,"Kalafior mrożony"
217,"Kalafior z wody"
218,Kalarepa
219,"Kapusta biała"
220,"Kapusta biała zasmażana"
221,"Kapusta czerwona"
222,"Kapusta kwaszona"
223,"Kapusta pekińska"
224,"Kapusta włoska"
225,"Kapuśniak z kapusty kwaszonej"
226,"Kapuśniak z kapusty słodkiej"
227,"Karmelki nadziewane"
228,"Karmelki twarde"
229,"Karp świeży"
230,"Karp w galarecie z warzywami"
231,"Karp z wody"
232,"Kasza gryczana"
233,"Kasza gryczana na sypko"
234,"Kasza jaglana"
235,"Kasza jęczmienna na mleku"
236,"Kasza jęczmienna perłowa"
237,"Kasza jęczmienna pęczak"
238,"Kasza manna"
239,"Kasza manna na mleku"
240,"Kasza manna na wywarze jarzynowym"
241,"Kasza perłowa na sypko"
242,"Kaszanka z kurczaka"
243,"Kawa bez cukru"
244,"Kefir 2 %"
245,"Keks bakaliowy"
246,Ketchup
247,"Kiełbasa jałowcowa z kurczaka"
248,"Kiełbasa krakowska sucha"
249,"Kiełbasa mazurska z indyka"
250,"Kiełbasa mortadela"
251,"Kiełbasa myśliwska sucha"
252,"Kiełbasa parówkowa"
253,"Kiełbasa podlaska z kurczaka"
254,"Kiełbasa podsuszana z kurczaka"
255,"Kiełbasa podwawelska"
256,"Kiełbasa szynkowa z indyka"
257,"Kiełbasa szynkowa z kurczaka"
258,"Kiełbasa śląska"
259,"Kiełbasa toruńska"
260,"Kiełbasa zwyczajna"
261,"Kiełbasa żywiecka"
262,"Kisiel porzeczkowy"
263,"Kisiel waniliowy"
264,"Kiszka kaszana jęczmienna"
265,"Kiszka krwista"
266,"Kiszka pasztetowa"
267,Kiwi
268,"Kiwi, dżem niskosłodzony"
269,"Klopsiki cielęce mielone"
270,"Klopsiki mielone z mięsa mieszanego"
271,"Kluski kładzione"
272,"Kluski lane"
273,"Kluski lane na mleku"
274,"Kluski śląskie"
275,"Knedle ze śliwkami"
276,"Kompot z jabłek"
277,"Kompot z wiśni"
278,"Koncentrat pomidorowy 30 %"
279,Koper
280,Kopytka
281,"Kotlet cielęcy panierowany"
282,"Kotlet mielony z mięsa mieszanego"
283,"Kotlet schabowy panierowany"
284,"Kotlet z kurczaka smażony panierowany"
285,"Kotlet z kurczaka smażony saute"
286,"Kotlet z kury mielony"
287,"Kotlety z jaj"
288,"Kotlety ziemniaczane"
289,"Krem z zielonego groszku"
290,"Królik, tuszka"
291,"Krupnik z kaszy gryczanej"
292,"Krupnik z kaszy jęczmiennej"
293,"Krupnik z ryżu"
294,Kukurydza
295,"Kukurydza konserwowa"
296,Kulebiak
297,"Kura w galarecie"
298,"Kura, tuszka"
299,"Kurczak faszerowany pieczony"
300,"Kurczak gotowany w jarzynach"
301,"Kurczak pieczony"
302,"Kurczak, mięso z piersi bez skóry"
303,"Kurczak, mięso z uda ze skórą"
304,"Kurczak, skrzydło"
305,"Kurczak, tuszka"
306,"Kurczak, wątroba"
307,"Kurczak, żołądek"
308,"Lody mleczno-owocowe"
309,"Lody śmietankowe"
310,"Łosoś smażony saute"
311,"Łosoś świeży"
312,"Łosoś wędzony"
313,"Łosoś z rusztu"
314,"Majonez z olejem rzepakowym"
315,"Majonez z olejem słonecznikowym"
316,"Mak niebieski"
317,"Makaron bezjajeczny"
318,"Makaron czterojajeczny"
319,"Makaron dwujajeczny"
320,"Makaron na mleku"
321,"Makrela świeża"
322,"Makrela wędzona"
323,"Makrela, filety z czerwoną fasolą"
324,"Makrela, filety z warzywami"
325,"Makrela, sałatka pikantna"
326,Maliny
327,Mandarynki
328,Marchew
329,"Marchew mrożona"
330,"Marchew z groszkiem"
331,"Marchew zasmażana"
332,"Margaryna Bona"
333,"Margaryna Flora"
334,"Margaryna Kama"
335,"Margaryna mleczna"
336,"Margaryna Palma"
337,"Margaryna Rama"
338,"Margaryna Słoneczna"
339,"Margaryna Tina"
340,"Margaryna zwykła"
341,Markizy
342,"Masło ekstra"
343,"Masło roślinne Nova"
344,"Masło roślinne zwykłe"
345,"Masło śmietankowe"
346,"Maślanka 0,5 %"
347,"Mąka pszenna typ 500"
348,"Mąka pszenna typ 550"
349,"Medaliony z indyka"
350,Melon
351,Mielonka
352,Migdały
353,"Mintaj świeży"
354,"Miód pszczeli"
355,"Mizeria ze śmietaną"
356,"Mleko kozie"
357,"Mleko owcze"
358,"Mleko spożywcze 0,5 %"
359,"Mleko spożywcze 1,5 %"
360,"Mleko spożywcze 2 %"
361,"Mleko spożywcze 3,2 %"
362,"Mleko spożywcze 3,5 %"
363,"Mleko w proszku odtłuszczone"
364,"Mleko w proszku pełne"
365,"Mleko zagęszczone niesłodzone"
366,"Mleko zagęszczone słodzone"
367,Morela
368,"Morele suszone"
